Rank,Title,Year,Rating,Votes,URL
1,The Shawshank Redemption,1994,9.3(3M),N/A,https://www.imdb.com/title/tt0111161/
2,The Godfather,1972,9.2(2.1M),N/A,https://www.imdb.com/title/tt0068646/
3,The Dark Knight,2008,9.0(3M),N/A,https://www.imdb.com/title/tt0468569/
4,The Godfather Part II,1974,9.0(1.4M),N/A,https://www.imdb.com/title/tt0071562/
5,12 Angry Men,1957,9.0(923K),N/A,https://www.imdb.com/title/tt0050083/
6,The Lord of the Rings: The Return of the King,2003,9.0(2.1M),N/A,https://www.imdb.com/title/tt0167260/
7,Schindler's List,1993,9.0(1.5M),N/A,https://www.imdb.com/title/tt0108052/
8,Pulp Fiction,1994,8.9(2.3M),N/A,https://www.imdb.com/title/tt0110912/
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.9(2.1M),N/A,https://www.imdb.com/title/tt0120737/
10,"The Good, the Bad and the Ugly",1966,8.8(851K),N/A,https://www.imdb.com/title/tt0060196/
11,Forrest Gump,1994,8.8(2.4M),N/A,https://www.imdb.com/title/tt0109830/
12,The Lord of the Rings: The Two Towers,2002,8.8(1.9M),N/A,https://www.imdb.com/title/tt0167261/
13,Fight Club,1999,8.8(2.5M),N/A,https://www.imdb.com/title/tt0137523/
14,Inception,2010,8.8(2.7M),N/A,https://www.imdb.com/title/tt1375666/
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7(1.4M),N/A,https://www.imdb.com/title/tt0080684/
16,The Matrix,1999,8.7(2.2M),N/A,https://www.imdb.com/title/tt0133093/
17,Goodfellas,1990,8.7(1.3M),N/A,https://www.imdb.com/title/tt0099685/
18,Interstellar,2014,8.7(2.3M),N/A,https://www.imdb.com/title/tt0816692/
19,One Flew Over the Cuckoo's Nest,1975,8.7(1.1M),N/A,https://www.imdb.com/title/tt0073486/
20,Se7en,1995,8.6(1.9M),N/A,https://www.imdb.com/title/tt0114369/
21,It's a Wonderful Life,1946,8.6(527K),N/A,https://www.imdb.com/title/tt0038650/
22,The Silence of the Lambs,1991,8.6(1.6M),N/A,https://www.imdb.com/title/tt0102926/
23,Seven Samurai,1954,8.6(383K),N/A,https://www.imdb.com/title/tt0047478/
24,Saving Private Ryan,1998,8.6(1.6M),N/A,https://www.imdb.com/title/tt0120815/
25,City of God,2002,8.6(836K),N/A,https://www.imdb.com/title/tt0317248/
